[0. 0. 0]
Voltage_1 (1)	Current_1 (1)	Time Ch_1 (1)
+1.109011E+00	+3.323180E-03	+2.770898E+01
+1.116013E+00	+3.407550E-03	+2.785059E+01
+1.123011E+00	+3.491635E-03	+2.799121E+01
+1.130004E+00	+3.573642E-03	+2.814062E+01
+1.136969E+00	+3.655897E-03	+2.828125E+01
+1.143964E+00	+3.735874E-03	+2.842188E+01
+1.150961E+00	+3.815376E-03	+2.856250E+01
+1.157958E+00	+3.892786E-03	+2.870312E+01
+1.164957E+00	+3.969477E-03	+2.884473E+01
+1.171952E+00	+4.043553E-03	+2.898535E+01
+1.178952E+00	+4.114493E-03	+2.912695E+01
+1.185953E+00	+4.184681E-03	+2.926758E+01
+1.192947E+00	+4.250276E-03	+2.940820E+01
+1.199943E+00	+4.314799E-03	+2.954980E+01

